"(Intercept)","DOY","glacier_len_norm","noise_4kHz","runoff_racmo","site","temp_deep","temp_shallow","velocity","year","DOY:runoff_racmo","DOY:temp_deep","DOY:temp_shallow","df","logLik","AICc","delta","weight"
8.41103861446376,-0.0355702777866946,NA,NA,-0.00947533947702206,"+",NA,-3.94923158222538,NA,"+",NA,NA,0.0204866442399674,8,-178.233460421714,372.86036346638,4.77536641017775,0.00258127974413691
18.3982342264044,-0.0794389437450301,1.15857321648313,NA,0.00100887324271062,"+",-24.2891659716509,NA,NA,"+",-3.76098921566898e-05,0.103026109967416,NA,10,-176.143638545567,372.89167269553,4.80667563932781,0.00254118545377539
20.0739942646163,-0.0838296211216123,0.0423422418256329,NA,NA,NA,-31.036701655757,NA,NA,"+",NA,0.120418310975554,NA,6,-180.332728041516,372.893716952597,4.80871989639456,0.00253858936260993
6.93997869524723,-0.0373366210898481,-0.415117252786398,NA,-0.00904408570647538,NA,1.87711242493481,-0.393083483727153,NA,"+",NA,NA,NA,7,-179.320122069034,372.945421249784,4.86042419358228,0.00247380242222764
16.6071224239451,-0.100180034948499,NA,0.0792495641436324,NA,NA,-41.0886305732996,4.86984352108855,NA,"+",NA,0.159712180548859,-0.0193363683485198,8,-178.287115588855,372.96767380066,4.88267674445842,0.0024464307697409
3.98251330598409,-0.0375570374819822,NA,0.0449436552623503,0.00643547385472799,NA,NA,0.176370932568648,NA,"+",-6.62675346891709e-05,NA,NA,7,-179.33235676875,372.969890649217,4.88489359301514,0.00244372058877307
8.42812109001223,-0.0425766363122912,NA,NA,-0.0102081747065583,NA,1.66344099389718,3.76324505545689,NA,"+",NA,NA,-0.0165128876050471,7,-179.339625902671,372.984428917059,4.89943186085674,0.0024260212638662
16.4327686421602,-0.0944699845511601,NA,0.0647222597050373,NA,"+",-40.3332510441162,0.144263763990022,NA,"+",NA,0.1600706353079,NA,9,-177.250870311427,372.994891307785,4.9098942515825,0.0024133634094008
18.6020121616833,-0.0936277791645286,NA,0.0655093889444743,NA,"+",-39.2522138379298,NA,-0.000862097693799649,"+",NA,0.156656763124166,NA,9,-177.251492070068,372.996134825067,4.91113776886505,0.00241186334623341
4.74191950001836,-0.0395784400168226,NA,0.0420668271515377,-0.00871679978863655,NA,NA,1.73704222368453,NA,"+",NA,NA,-0.00653661831172235,7,-179.348308288307,373.001793688331,4.91679663212898,0.00240504878899777
